[2026-03-09 07:38:46] [INFO    ] discord.client: logging in using static token
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1431829716201115749', 'username': 'Jiggle Bot', 'avatar': 'a06a7e2e43b01eb8de5558c613cdcc70', 'discriminator': '1315', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-09 07:38:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1431829716201115749', 'name': 'Jiggle Bot', 'icon': None, 'description': "Does several things and some memer stuff\n\nIntegrates gemini's AI model for seamless integration, homework help, vibe coding, and more.", 'type': None, 'bot': {'id': '1431829716201115749', 'username': 'Jiggle Bot', 'avatar': 'a06a7e2e43b01eb8de5558c613cdcc70', 'discriminator': '1315', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '2056'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['bot', 'applications.commands'], 'permissions': '2056'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '467c142ad946c96ffaefdaad059db99dcbaaf662a2808815badeef4858982a66', 'flags': 27820032, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '624303309708066826', 'username': 'javier_84', 'avatar': 'f56cd132db2aa4738ee30926002172ef', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 9930449, 'global_name': 'Javy', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#9786d1', 'clan': {'identity_guild_id': '874803913470148649', 'identity_enabled': True, 'tag': 'KXR', 'badge': '3cd5833282f176c9c62a54bc48957735'}, 'primary_guild': {'identity_guild_id': '874803913470148649', 'identity_enabled': True, 'tag': 'KXR', 'badge': '3cd5833282f176c9c62a54bc48957735'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-09 07:38:47] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-09 07:38:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-jt7b",{"micros":0.0}]']}}
[2026-03-09 07:38:47] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-09 07:38:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-09 07:38:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Jiggle Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1431829716201115749', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1315', 'clan': None, 'bot': True, 'avatar': 'a06a7e2e43b01eb8de5558c613cdcc70'}, 'session_type': 'normal', 'session_id': 'e0ac037da4ad031f42210acaf9613241', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1435346220179787858'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['atlanta', 'us-east', 'newark', 'us-south', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1431829716201115749', 'flags_new': '27820032', 'flags': 27820032}, '_trace': ['["gateway-prd-arm-us-east1-b-jt7b",{"micros":411275,"calls":["id_created",{"micros":242,"calls":[]},"session_lookup_time",{"micros":2559,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-175",{"micros":408048,"calls":["start_session",{"micros":386259,"calls":["discord-api-rpc-56d9cf585d-wcmjp",{"micros":281397,"calls":["get_user",{"micros":24362},"get_guilds",{"micros":5759},"send_scheduled_deletion_message",{"micros":9},"guild_join_requests",{"micros":23938},"authorized_ip_coro",{"micros":7},"pending_payments",{"micros":10620},"apex_experiments",{"micros":80583},"sessions_experiments",{"micros":5},"user_activities",{"micros":4},"played_application_ids",{"micros":2},"linked_users",{"micros":2},"ad_personalization_toggles_disabled",{"micros":2},"regional_feature_config",{"micros":1}]}]},"starting_guild_connect",{"micros":38,"calls":[]},"presence_started",{"micros":875,"calls":[]},"guilds_started",{"micros":63,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20784,"calls":[]},"connect_finished",{"micros":20797,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":3,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-09 07:38:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-09 07:38:47] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e0ac037da4ad031f42210acaf9613241).
[2026-03-09 07:38:47] [DEBUG   ] discord.client: Dispatching event connect
